bodywork_type,brand,city,color,doors,fuel_type,kilometers,model,motor,price,state,transmission,year
Pick-Up,Chevrolet,Itagui,Verde,2.0,Gasolina,1111111.0,LUV,1.6,22000000.0,Antioquia,Mecanica,1988.0
Hatchback,Renault,Piedecuesta,Gris,5.0,Gasolina,460736.0,R4,1.0,3800000.0,Santander,Mecanica,1989.0
Sedan,Jeep,Chapinero,Blanco,2.0,Gasolina y gas,175000.0,Wrangler,2.0,37000000.0,Bogota D.C.,Automatica,1989.0
Pick-Up,Chevrolet,La Candelaria,Rojo,2.0,Gasolina,11500.0,LUV,2.3,25500000.0,Bogota D.C.,Mecanica,1990.0
Furgon,Chevrolet,Kennedy,Rojo,2.0,Gasolina,10.0,LUV,2300,18000000.0,Bogota D.C.,Mecanica,1990.0
Camioneta,Chevrolet,Santa Marta (Distrito Turistico Cultural E Historico),Gris,5.0,Gasolina,66971.0,Samurai,1.3,26000000.0,Magdalena,Mecanica,1991.0
Sedan,BMW,Bogota,Gris,4.0,Gasolina,234000.0,Serie 3,2.5,25000000.0,Cundinamarca,Mecanica,1992.0
Hatchback,Toyota,Medellin,Blanco,5.0,Gasolina,230000.0,Land Cruiser,4.5,69900000.0,Antioquia,Mecanica,1993.0
Camioneta,Toyota,Medellin,Gris,5.0,Gasolina,208000.0,Land Cruiser,4.5,69900000.0,Antioquia,Mecanica,1995.0
Pick-Up,Mazda,Suba,Azul,2.0,Gasolina,20000.0,B2000,2.0,27900000.0,Bogota D.C.,Mecanica,1995.0
Van,Ford,Teusaquillo,Rojo,4.0,Gasolina,240000.0,Econoline,2.0,32500000.0,Bogota D.C.,Automatica,1996.0
Camioneta,Chevrolet,Engativa,Blanco,5.0,Gasolina,181427.0,Esteem,1.6,14000000.0,Bogota D.C.,Automatica,1998.0
Pick-Up,Ford,Medellin,Gris,2.0,Gasolina,131000.0,F-150,4.2,24000000.0,Antioquia,Mecanica,1999.0
